Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_hand_midback_link1,-0.000148035028410428,-0.0115948040189855,0.0241234086343709,0,0,0,1.86553701358241E-08,5.02993891933506E-12,-7.13779316665413E-15,6.9180033603913E-14,5.38445588115712E-12,-1.7237079695187E-13,5.90796190426731E-13,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_midback_link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_midback_link1.STL,,MH2.25-V3.0-10-1,rmf2,d2,right_hand_midback_joint1,fixed,0,0,-0.0558,0,0,0,right_hand_mid_link1,0,0,0,,,,,,,0,0,,,,
right_hand_mid_link2,-0.000248364601983051,0.00119905076177324,-0.0213789908421273,0,0,0,0.00686452346021681,1.00366203723112E-06,4.14859949150709E-09,-2.81531288084606E-08,1.04676091764187E-06,-3.45470641696537E-08,2.85700390032339E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_link2.STL,,MH2.25-V3.0-11-1,rmf2,d2,right_hand_mid_joint2,revolute,0,0,-0.0558,0,0,0,right_hand_mid_link1,1,0,0,0.4,14.38,0,1.919,,,0,0,,,,
right_hand_midback_link2,0.000157950438652398,-0.00758843721877396,0.0176655210856773,0,0,0,1.14812654431592E-08,9.89430795175656E-13,7.31454960758275E-15,2.81814031130705E-14,1.25439855775353E-12,-9.24914678753385E-14,3.86109183033431E-13,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_midback_link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_midback_link2.STL,,MH2.25-V3.0-12-1,rmf3,d3,right_hand_midback_joint2,fixed,0,0,-0.042248,0,0,0,right_hand_mid_link2,0,0,0,,,,,,,0,0,,,,
right_hand_mid_tip,5.97126514900737E-14,5.86336534880161E-16,-8.32667268468867E-16,0,0,0,5.65450977765345E-06,6.36132349986013E-12,-1.19540892458005E-26,2.76722807497311E-24,1.49608904533747E-11,2.86748612324691E-28,1.49608904533747E-11,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_tip.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_mid_tip.STL,,MH2.25-V3.0-13-4,rmf3,d3,right_hand_mid_joint3,fixed,0,0,-0.0422482924089417,0,0,0,right_hand_mid_link2,0,0,0,,,,,,,0,0,,,,
right_hand_ring_link1,3.58049083615322E-05,0.000530417592105594,-0.0332784671157224,0,0,0,0.0143714276805089,4.37293541565049E-06,-1.14489065194219E-09,-8.28615019171009E-08,4.26829701084995E-06,2.4567890517326E-08,6.71137965532429E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_link1.STL,,MH2.25-V3.0-09-3,rrf1,e1,right_hand_ring_joint1,revolute,-0.016,0.0065,-0.1052,0,0,0,right_hand_link,1,0,0,1.1,8.63,0,1.919,,,0,0,,,,
right_hand_ringback_link1,-0.000148033469798928,-0.0115948018402145,0.0241234223266379,0,0,0,1.8655338454586E-08,5.02993672054266E-12,-7.13785028267334E-15,6.91796232870163E-14,5.38445402987183E-12,-1.72371110921245E-13,5.90796354222166E-13,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ringback_link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ringback_link1.STL,,MH2.25-V3.0-10-3,rrf2,e2,right_hand_ringback_joint1,fixed,0,0,-0.0558000000000002,0,0,0,right_hand_ring_link1,0,0,0,,,,,,,0,0,,,,
right_hand_ring_link2,-0.000248364602035429,0.00119905076177346,-0.0213789908421257,0,0,0,0.00686452346021786,1.00366203723119E-06,4.14859949147903E-09,-2.81531288082113E-08,1.04676091764192E-06,-3.45470641696836E-08,2.85700390032371E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_link2.STL,,MH2.25-V3.0-11-3,rrf2,e2,right_hand_ring_joint2,revolute,0,0,-0.0558,0,0,0,right_hand_ring_link1,1,0,0,0.4,14.38,0,1.919,,,0,0,,,,
right_hand_ringback_link2,0.000157950438638532,-0.00758843721878611,0.0176655210858899,0,0,0,1.14812654430586E-08,9.89430795139983E-13,7.31454960849434E-15,2.81814030999085E-14,1.25439855771824E-12,-9.24914678725377E-14,3.86109183033583E-13,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ringback_link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ringback_link2.STL,,MH2.25-V3.0-12-3,rrf3,e3,right_hand_ringback_joint2,fixed,0,0,-0.0422482924089403,0,0,0,right_hand_ring_link2,0,0,0,,,,,,,0,0,,,,
right_hand_ring_tip,1.22818422099158E-15,1.69135538907739E-16,0,0,0,0,5.65450977765344E-06,6.36132349986012E-12,8.77683347451824E-27,1.10971976857587E-27,1.49608904533747E-11,3.02903463723262E-28,1.49608904533747E-11,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_tip.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ring_tip.STL,,MH2.25-V3.0-13-6,rrf3,e3,right_hand_ring_joint3,fixed,0,0,-0.0422482924089403,0,0,0,right_hand_ring_link2,0,0,0,,,,,,,0,0,,,,
right_hand_pinky_link1,3.58049083611298E-05,0.000530417592105422,-0.0332784671157224,0,0,0,0.0143714276805089,4.37293541565049E-06,-1.1448906519422E-09,-8.2861501917091E-08,4.26829701084995E-06,2.45678905173256E-08,6.71137965532426E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_link1.STL,,MH2.25-V3.0-09-4,rlf1,f1,right_hand_pinky_joint1,revolute,-0.036,0.0065,-0.1022,0,0,0,right_hand_link,1,0,0,1.1,8.63,0,1.919,,,0,0,,,,
right_hand_pinkyback_link1,-0.000148034891232163,-0.0115948044185708,0.0241234089219646,0,0,0,1.86553724816036E-08,5.02993905199783E-12,-7.13780898590823E-15,6.91800137440663E-14,5.38445601321761E-12,-1.72370824405658E-13,5.90796211189442E-13,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinkyback_link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinkyback_link1.STL,,MH2.25-V3.0-10-4,rlf2,f2,right_hand_pinkyback_joint1,fixed,0,0,-0.0558000000000001,0,0,0,right_hand_pinky_link1,0,0,0,,,,,,,0,0,,,,
right_hand_pinky_link2,-0.000248361662015334,0.0011990519020671,-0.0213789854478658,0,0,0,0.00686452036118564,1.0036615423044E-06,4.1485447639551E-09,-2.81534228771592E-08,1.04676034174024E-06,-3.45471669068608E-08,2.85700266317787E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_link2.STL,,MH2.25-V3.0-11-4,rlf2,f2,right_hand_pinky_joint2,revolute,0,0,-0.0558,0,0,0,right_hand_pinky_link1,1,0,0,1.4,14.38,0,1.919,,,0,0,,,,
right_hand_pinkyback_link2,0.00015795043861809,-0.00758843721877113,0.0176655210856609,0,0,0,1.14812654431935E-08,9.8943079518644E-13,7.31454960845442E-15,2.81814031101177E-14,1.25439855776416E-12,-9.24914678765644E-14,3.86109183033611E-13,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinkyback_link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinkyback_link2.STL,,MH2.25-V3.0-12-4,rlf3,f3,right_hand_pinkyback_joint2,fixed,0,0,-0.0422482924089404,0,0,0,right_hand_pinky_link2,0,0,0,,,,,,,0,0,,,,
right_hand_pinky_tip,6.17561557447743E-16,8.67361737988404E-18,0,0,0,0,5.65450977765345E-06,6.36132349986013E-12,1.49796083134541E-26,-3.96531922210801E-27,1.49608904533748E-11,3.3117445367076E-28,1.49608904533748E-11,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_tip.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_pinky_tip.STL,,MH2.25-V3.0-13-7,rlf3,f3,right_hand_pinky_joint3,fixed,0,0,-0.0422482924089404,0,0,0,right_hand_pinky_link2,0,0,0,,,,,,,0,0,,,,
